time,agenda,role players,time allotted
6:30 PM,Opening SAA,Eshika,1 min 30 sec
6:32 PM,President's Address,Eshika,2 - 4 mins
6:36 PM,TMoD introduces the theme + invites GE,Eshika,5 - 7 mins
6:42 PM,GE explains the role and introduces the team,Eshika,5 mins
,Timer introduces the role,Eshika,
,Language Evaluator introduces the role,Eshika,
,Wow Counter introduces the role,Eshika,
,GE hands over to the TMoD,Eshika,
6:48 PM,TMoD introduces the Prepared speech segment and invites the evaluator to read the speech objectives,Eshika,2 mins
6:50 PM,Evaluator 1 reads the speech objectives and hands over to the TMoD,Eshika,1 min 30 sec
6:52 PM,Speaker 1 presents the Speech,Eshika,5 - 7 mins
7:00 PM,TMoD invites the evaluator to read the speech objectives,Eshika,
7:00 PM,Evaluator 2 reads the speech objectives and hands over to the TMoD,Eshika,1 min 30 sec
7:02 PM,Speaker 2 presents the Speech,Eshika,5 - 7 mins
7:09 PM,TMoD transitions  + introduces the Table Topic Master,Eshika,5 mins
7:15 PM,Table Topics Master conducts the Table Topics session and hands over to the TMoD,Eshika,12 - 15 mins
7:30 PM,TMoD transitions +  hand over to the GE,Eshika,5 mins
7:35 PM,General Evaluator invites Eva1 1 for Evaluation,Eshika,
7:36 PM,Eval 1 gives the Evaluation,Eshika,2 - 3 mins
7:39 PM,General Evaluator invites Eva1 2 for Evaluation,Eshika,
7:40 PM,Eval 2 gives the Evaluation,Eshika,2 - 3 mins
7:43 PM,Wow Counter report,Eshika,1 - 2 mins
7:45 PM,Langauge Evaluator Report,Eshika,1 - 2 mins
7:47 PM,Timer report,Eshika,1 min 30 sec
7:52 PM,GE report,Eshika,5 mins
7:57 PM,TMoD concludes the meeting + hands over to the President,Eshika,3 mins
8:00 PM,President Thanks the attendees,Eshika,2 mins
